Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Change
1,Pakistan,18.8,2.8,11.1,17.5,12.9,29.1,
2,Eritrea,20.1,18.5,19.3,18.6,24.9,21.8,0.0
3,Dominican Republic,20.2,16.5,18.4,43.3,27.5,38.6,
4,Afghanistan,20.9,5.8,13.7,18.8,16.5,10.0,0.0
5,Egypt,21.0,3.7,12.7,21.2,16.2,20.0,
6,India,21.2,5.6,13.7,23.8,15.1,82.6,
7,Andorra,21.8,25.8,19.2,63.1,24.5,152.0,0.0
8,Guyana,22.3,23.3,22.8,23.3,35.6,69.5,0.0
9,Bangladesh,23.1,3.2,13.2,20.0,18.0,10.0,
10,Tanzania,23.8,8.4,16.4,25.4,16.5,25.9,
11,Syria,24.0,3.7,14.2,24.5,15.3,5.5,
12,Libya,24.7,6.3,15.5,58.0,43.3,39.3,
13,Burkina Faso,25.0,7.0,16.0,20.0,15.0,10.0,0.0
14,Paraguay,25.4,9.1,17.6,24.0,17.6,34.6,
15,Nepal,25.5,3.5,15.0,25.6,16.2,25.4,
16,Cyprus,25.7,13.9,19.8,48.9,39.7,41.5,
17,Ukraine,25.9,7.6,17.1,25.4,20.7,39.5,
18,Belarus,26.1,9.6,17.8,25.0,20.0,20.0,
19,Iran,26.4,8.5,17.8,22.0,16.3,26.0,
19,Uzbekistan,26.4,11.2,19.1,28.4,18.6,39.3,
21,Liberia,26.4,24.1,25.2,15.9,14.4,31.4,0.0
22,Indonesia,26.7,7.7,17.6,33.4,13.5,31.7,
23,Benin,28.0,8.0,18.0,25.0,15.0,10.0,0.0
24,Tunisia,28.1,4.7,16.9,31.4,15.0,32.2,
25,Kyrgyzstan,28.4,11.8,20.1,54.4,26.3,31.6,
26,Vietnam,28.7,9.0,19.2,33.9,14.8,40.5,
27,Chad,28.7,8.5,18.6,23.1,29.2,53.4,0.0
28,Colombia,28.8,8.6,19.1,30.3,20.5,33.7,
29,Algeria,28.9,6.6,18.5,28.9,20.3,18.5,
30,Uganda,29.1,7.7,18.8,29.3,21.6,17.8,
31,Iraq,29.3,7.6,18.9,28.2,20.9,50.4,
32,Argentina,29.4,7.6,18.9,29.7,24.8,41.5,
33,Kosovo (Disputed Territory),29.5,7.7,19.0,29.4,20.6,46.7,
33,Morocco,29.5,7.4,18.9,29.8,20.7,38.6,
35,Cambodia,29.5,24.2,26.9,59.9,17.3,28.5,
36,Grenada,29.8,33.1,31.4,59.2,43.9,42.7,0.0
37,Malaysia,30.0,7.7,19.3,36.3,18.9,79.9,
37,Peru,30.0,9.6,20.2,31.5,21.3,34.8,
37,Azerbaijan,30.0,10.0,20.0,25.0,20.0,25.0,
40,Botswana,30.1,10.0,18.0,28.0,25.0,30.0,
41,Brazil,30.2,7.9,19.5,29.5,22.6,37.2,
41,Kenya,30.2,8.5,19.8,31.0,22.1,34.2,
43,Gabon,30.5,29.0,29.8,44.6,23.1,41.0,0.0
44,Philippines,31.0,7.1,19.6,35.0,16.8,33.3,
44,Russia,31.0,10.0,20.9,28.8,28.0,50.6,
46,Eswatini,31.1,6.9,19.0,46.4,15.7,49.6,0.0
47,Kazakhstan,31.4,30.0,30.7,58.3,54.4,85.7,
48,Nigeria,31.4,22.1,27.0,37.5,20.6,11.0,
49,Fiji,31.4,23.8,27.6,35.6,15.5,83.3,
50,China,31.7,12.3,22.4,36.8,20.6,73.3,
51,North Macedonia,33.0,6.5,20.3,32.1,22.1,51.0,
52,Central African Republic,33.6,33.5,33.6,42.0,28.7,11.8,0.0
53,Thailand,34.1,11.2,23.1,40.5,18.3,40.8,
54,South Africa,34.5,11.5,23.5,29.7,29.5,102.8,
55,Sri Lanka,34.6,5.6,20.7,49.3,18.5,17.5,
56,Bosnia And Herzegovina,35.0,6.2,21.2,34.5,22.4,56.9,
57,Bosnia and Herzegovina,35.1,7.9,21.5,35.0,28.0,25.0,0.0
58,Ethiopia,35.3,9.2,22.3,44.0,52.3,71.9,0.0
59,Honduras,35.8,13.5,24.6,42.9,42.3,13.6,0.0
60,Zimbabwe,37.2,10.0,24.1,35.5,26.7,26.1,
61,Turkey,37.4,13.2,25.8,37.6,30.7,49.0,
62,Romania,37.5,9.9,24.2,36.6,35.5,63.8,
63,Serbia,37.7,12.4,25.6,36.0,31.2,50.2,
64,North Korea,37.9,18.1,28.0,32.4,17.2,47.4,0.0
65,Venezuela,38.3,5.8,22.7,39.5,37.7,14.7,
65,Bulgaria,38.3,10.3,24.9,38.2,34.7,68.4,
67,Guinea-Bissau,38.5,20.0,29.2,20.2,33.0,25.4,0.0
68,Chile,39.1,11.1,25.7,41.6,34.8,45.1,
69,Montenegro,39.4,15.8,28.1,36.7,36.3,52.9,
70,Bhutan,40.0,15.0,27.5,35.0,30.0,30.0,0.0
70,Bolivia,40.0,15.0,27.5,35.0,25.0,20.0,
72,Mexico,40.2,15.5,28.4,43.4,35.7,45.4,
73,Marshall Islands,40.5,21.2,30.9,40.8,36.1,60.1,0.0
74,Poland,40.8,17.1,29.5,36.8,35.0,85.8,
75,Palestine,41.6,8.0,25.5,40.7,27.4,46.1,
76,Hungary,41.7,11.3,27.1,39.8,37.0,63.4,
77,Albania,41.9,13.6,28.9,42.5,39.6,20.8,
78,Kiribati,42.0,6.4,24.2,26.6,16.5,30.4,0.0
79,Kuwait,42.1,22.6,32.7,34.5,36.4,161.8,
80,Congo (Rep.),42.3,25.8,34.1,21.3,28.4,25.8,0.0
81,Oman,42.4,12.2,27.9,39.9,33.1,139.8,
82,Mauritania,43.8,28.7,36.2,21.2,36.7,26.7,0.0
83,Malawi,44.0,34.6,39.3,54.3,20.6,27.3,0.0
84,Armenia,44.3,19.6,32.0,40.0,35.0,20.0,
85,Angola,44.5,27.0,36.0,40.0,38.0,12.0,0.0
86,Jordan,45.0,10.2,27.6,55.6,38.7,64.8,
87,Brunei,45.0,30.0,38.0,40.0,35.0,100.2,0.0
88,Portugal,45.1,24.0,35.0,43.8,36.9,56.9,
89,Taiwan,45.2,13.1,29.8,60.1,23.0,95.1,
90,Cabo Verde,45.3,13.7,29.5,51.0,27.1,51.2,0.0
91,Saudi Arabia,45.3,11.3,29.0,41.6,30.9,134.9,
92,Croatia,45.5,13.8,30.3,43.5,42.2,75.0,
93,Liechtenstein,46.1,36.8,50.8,39.4,22.2,131.7,0.0
94,Japan,46.1,13.4,30.4,53.7,27.8,117.0,
95,Panama,46.4,20.1,33.8,48.3,42.2,42.2,
96,Moldova,46.5,16.4,31.4,20.3,49.9,31.4,
97,Czech Republic,46.6,18.8,33.3,44.4,34.1,84.0,
98,Slovakia,46.7,14.8,31.4,46.7,34.5,68.3,
99,Lithuania,47.1,15.6,31.9,44.2,43.5,75.5,
100,Spain,47.3,22.9,35.6,46.0,44.1,92.1,
101,Bahrain,47.8,18.8,33.3,45.0,40.0,83.6,
102,Haiti,48.0,26.5,37.3,38.4,29.0,62.7,0.0
103,Belize,48.0,12.6,30.3,45.0,30.0,52.4,0.0
104,Mauritius,48.4,7.1,27.7,21.0,43.3,33.1,
